"fdeliver_status","price","fpaymentmode","logisticr","cust_rating","shipment_hr","fnotify","fweather","fcust_avail","dist_warehouse","profit_pr","order_date","shipment_date","expected_delivery","remaining","ftracking","consignment_wt","empolyee_number"
"yes",249,"online",31,78,24,"no","good","yes",186,11.1554115703267,2018-08-25,2018-08-30,2018-09-01,82,"GPRS",2.22177064483718,399
"yes",13367,"debit",77,44,25,"yes","good","yes",192,9.2227071952441,2018-01-21,2018-01-26,2018-01-28,84,"RFID",3.12780297753842,400
"yes",9780,"online",26,65,26,"yes","good","no",12,6.69445651325107,2018-06-29,2018-07-02,2018-07-09,88,"GPRS",2.36686276692661,394
"yes",2075,"cash",48,32,27,"yes","bad","no",159,13.4192913202928,2018-01-22,2018-01-24,2018-01-31,18,"RFID",2.94968325487376,393
"yes",6924,"debit",64,11,28,"yes","bad","no",152,9.19694732879279,2018-08-12,2018-08-13,2018-08-18,96,"GPRS",2.96788855241894,381
"yes",7134,"online",35,21,29,"yes","good","yes",72,11.1146002638824,2018-11-30,2018-12-02,2018-12-09,84,"GPRS",2.69729747059874,403
"yes",10916,"cash",76,100,30,"yes","good","yes",123,9.13713040708688,2018-02-17,2018-02-22,2018-02-24,91,"GPRS",2.36652454684318,387
"yes",1563,"online",38,50,31,"no","bad","yes",149,11.7044264826098,2018-06-24,2018-06-27,2018-07-04,78,"GPRS",2.44601009972843,374
"yes",5224,"online",93,64,32,"yes","bad","yes",108,10.835698239129,2018-02-09,2018-02-14,2018-02-19,23,"RFID",2.90532357605682,390
"yes",2635,"online",69,60,33,"yes","good","no",25,12.7260976135738,2018-01-22,2018-01-23,2018-02-01,90,"GPRS",2.22698903380333,389
"yes",6588,"debit",96,57,34,"yes","good","no",0,9.36942136050479,2018-11-22,2018-11-25,2018-11-30,78,"GPRS",2.23878860827692,409
"yes",13806,"online",10,33,35,"yes","good","no",55,6.4187594140608,2018-08-27,2018-08-31,2018-09-06,80,"GPRS",1.6717384661045,397
"yes",8409,"cash",71,18,36,"yes","good","yes",49,9.26361052467871,2018-10-11,2018-10-14,2018-10-21,48,"GPRS",4.03983227460374,394
"yes",12188,"cash",18,69,37,"yes","bad","yes",120,10.9199350269859,2018-12-04,2018-12-08,2018-12-12,46,"GPRS",2.25221936409784,387
"no",9301,"cash",63,76,38,"yes","good","yes",171,9.4266447317907,2018-02-20,2018-02-22,2018-02-27,28,"GPRS",1.17570448167637,402
"yes",10646,"debit",46,61,39,"yes","good","yes",159,9.04371454215854,2018-04-18,2018-04-19,2018-04-27,84,"GPRS",4.57301336670418,375
"yes",6343,"online",42,4,40,"yes","good","yes",57,11.2633987463092,2018-02-27,2018-03-02,2018-03-07,35,"GPRS",5.36426857359333,404
"yes",7193,"online",13,53,41,"yes","good","yes",169,10.791466098386,2018-08-08,2018-08-09,2018-08-18,36,"GPRS",3.97388133938475,405
"yes",8085,"debit",95,90,42,"yes","good","yes",97,12.0018533754347,2018-08-31,2018-09-02,2018-09-09,88,"GPRS",2.67597415522344,374
"yes",10877,"online",87,38,43,"yes","good","no",131,10.5373311250607,2018-01-28,2018-02-01,2018-02-03,100,"GPRS",3.21744483505514,397
"yes",12823,"debit",95,65,44,"yes","good","yes",112,8.10211484757453,2018-05-17,2018-05-20,2018-05-25,15,"RFID",2.9331032173889,381
"yes",1323,"cash",56,66,45,"yes","good","no",53,12.4536133867549,2018-05-17,2018-05-22,2018-05-24,75,"GPRS",2.91435088159096,395
"yes",1762,"online",91,94,46,"yes","bad","no",52,13.1646967142086,2018-06-24,2018-06-27,2018-07-01,93,"GPRS",3.96090657187357,383
"yes",3851,"online",69,86,47,"yes","good","yes",97,8.59271080470247,2018-06-13,2018-06-17,2018-06-22,62,"GPRS",2.67648367070523,378
"yes",1458,"online",43,70,48,"no","good","yes",96,9.54629722250705,2018-09-14,2018-09-17,2018-09-20,77,"RFID",3.03369487174223,394
"yes",11752,"cash",49,3,49,"yes","good","yes",15,12.699161346674,2018-11-11,2018-11-16,2018-11-21,17,"RFID",3.05586903496978,370
"yes",5421,"credit",67,46,50,"yes","good","yes",54,11.0192462846119,2018-09-28,2018-10-02,2018-10-05,71,"GPRS",2.07855689149283,395
"yes",7555,"online",53,6,51,"yes","bad","yes",179,10.5459539363981,2018-05-07,2018-05-09,2018-05-15,93,"GPRS",1.63075156432073,386
"yes",8412,"debit",59,15,52,"no","good","no",87,8.95695810906301,2018-07-19,2018-07-22,2018-07-28,72,"GPRS",3.9056779256773,406
"yes",367,"online",100,5,53,"yes","good","no",55,9.51648653447069,2018-02-27,2018-03-01,2018-03-06,72,"RFID",3.06113122674881,373
"yes",8219,"debit",67,64,54,"yes","good","yes",112,11.3018849584147,2018-12-01,2018-12-05,2018-12-10,24,"GPRS",3.97939681851657,386
"yes",6035,"online",54,24,55,"yes","good","yes",104,10.4188068628573,2018-10-24,2018-10-29,2018-11-03,36,"RFID",2.81942748044848,407
"yes",14322,"online",61,37,56,"yes","good","yes",185,9.91858779638821,2018-09-17,2018-09-22,2018-09-25,46,"GPRS",4.12146060549664,403
"yes",2768,"cash",63,7,57,"yes","good","yes",143,9.28543612244396,2018-08-15,2018-08-17,2018-08-21,26,"RFID",2.08989084300557,387
"yes",6432,"cash",86,53,58,"yes","good","yes",80,8.44349724997122,2018-05-01,2018-05-05,2018-05-09,30,"GPRS",4.12361167097126,370
"no",8386,"cash",36,5,59,"yes","good","yes",157,10.375869396183,2018-09-02,2018-09-05,2018-09-12,79,"GPRS",3.20181431536357,376
"yes",4551,"online",14,69,60,"yes","good","no",89,12.1942610793968,2018-12-05,2018-12-06,2018-12-11,27,"GPRS",3.39884106439463,375
"yes",9535,"online",10,69,61,"yes","good","yes",69,8.67081557098117,2018-09-20,2018-09-25,2018-09-29,58,"GPRS",3.06441046382948,405
"yes",13741,"cash",16,10,62,"yes","good","yes",92,12.8636019273826,2018-06-25,2018-06-26,2018-07-02,71,"RFID",2.8821142475837,385
"no",11113,"cash",13,58,63,"yes","good","no",63,7.14608853604155,2018-02-21,2018-02-24,2018-03-03,87,"GPRS",3.29838136102491,407
"yes",3320,"debit",62,39,64,"yes","bad","yes",56,10.5018019689697,2018-06-06,2018-06-08,2018-06-15,7,"RFID",3.18519504951817,394
"yes",10685,"cash",59,45,65,"yes","good","yes",61,10.3801392133565,2018-10-08,2018-10-13,2018-10-18,55,"GPRS",4.49857652050075,378
"yes",1040,"cash",48,79,66,"yes","good","yes",65,10.9767119508281,2018-10-01,2018-10-02,2018-10-07,19,"GPRS",2.89488851324469,409
"yes",6279,"cash",11,100,67,"no","good","yes",45,6.68622534228731,2018-05-16,2018-05-17,2018-05-23,74,"RFID",3.40081457562917,396
"yes",14156,"debit",53,13,68,"yes","good","yes",193,9.0802068417377,2018-09-28,2018-09-30,2018-10-08,58,"GPRS",1.58168322296307,376
"yes",6170,"cash",57,48,69,"yes","good","no",63,14.2106031738312,2018-09-26,2018-09-27,2018-10-04,31,"GPRS",4.13479429016268,392
"yes",6794,"online",78,86,70,"no","good","no",154,10.4867598354318,2018-02-08,2018-02-13,2018-02-16,63,"RFID",3.11009623671541,388
"yes",9073,"cash",53,78,71,"yes","good","yes",172,11.3605427725816,2018-06-09,2018-06-13,2018-06-19,42,"RFID",3.27297993602079,393
"yes",2349,"online",97,3,72,"yes","good","yes",30,10.679999975163,2018-02-03,2018-02-07,2018-02-13,51,"RFID",2.78034797993372,404
"yes",13295,"online",59,16,73,"yes","good","yes",68,9.19149808767018,2018-07-13,2018-07-17,2018-07-23,98,"GPRS",2.41692210949303,409
"yes",12889,"online",89,55,74,"yes","good","yes",55,6.72664817289998,2018-11-03,2018-11-05,2018-11-13,61,"GPRS",2.98643238164751,409
"yes",9970,"cash",37,10,75,"yes","good","yes",123,6.68493559655499,2018-06-10,2018-06-14,2018-06-18,52,"RFID",2.59204850098352,385
"yes",3379,"debit",54,55,76,"yes","good","yes",182,12.2964991306154,2018-11-15,2018-11-16,2018-11-25,92,"GPRS",3.21150985116051,378
"no",346,"online",48,39,77,"yes","good","no",152,6.56136207893945,2018-04-15,2018-04-19,2018-04-23,93,"GPRS",2.20022739360025,370
"yes",10759,"debit",66,80,78,"yes","good","yes",58,10.8867363052535,2018-10-16,2018-10-21,2018-10-24,28,"RFID",3.79870539928471,372
"yes",12997,"online",93,67,79,"yes","good","yes",72,9.28269002554902,2018-02-11,2018-02-13,2018-02-20,98,"RFID",2.41687409034689,396
"yes",11576,"debit",56,22,80,"no","good","yes",109,7.00017129672375,2018-11-18,2018-11-19,2018-11-27,67,"RFID",2.97182697741975,399
"yes",7158,"debit",79,47,81,"yes","good","no",60,10.9578550825262,2018-08-17,2018-08-21,2018-08-27,46,"GPRS",4.31805087682042,381
"yes",8153,"online",43,95,82,"no","good","yes",166,11.5494638381153,2018-12-09,2018-12-13,2018-12-15,27,"GPRS",3.53665702554235,409
"yes",4303,"credit",69,3,83,"yes","good","yes",58,11.535914965253,2018-08-16,2018-08-17,2018-08-23,74,"RFID",2.50925223203055,380
"yes",5762,"cash",97,15,84,"yes","good","yes",161,11.9868728374702,2018-05-07,2018-05-12,2018-05-15,28,"GPRS",2.55361140769986,403
"yes",2093,"cash",48,37,85,"yes","good","yes",188,8.28471346634759,2018-07-27,2018-07-29,2018-08-02,2,"RFID",3.34537819896118,374
"no",13283,"online",51,48,86,"yes","good","yes",65,9.51303824149086,2018-02-08,2018-02-09,2018-02-14,40,"RFID",2.04157289111011,394
"yes",6553,"debit",28,79,87,"yes","good","no",63,9.92220270922399,2018-06-06,2018-06-08,2018-06-15,72,"GPRS",3.99237507460059,389
"yes",12562,"online",38,3,88,"yes","good","yes",80,12.1214971418762,2018-11-23,2018-11-26,2018-12-02,82,"GPRS",2.63139273420282,388
"yes",13995,"debit",79,46,89,"yes","good","yes",93,12.1553994962499,2018-04-12,2018-04-14,2018-04-18,89,"RFID",3.8437443069209,388
"yes",8679,"credit",90,80,90,"yes","good","yes",18,7.64018527885341,2018-03-25,2018-03-29,2018-04-03,56,"GPRS",3.81230084669126,383
"yes",7718,"online",93,42,91,"no","good","no",150,9.66761921880241,2018-04-08,2018-04-11,2018-04-17,73,"RFID",2.34815112145309,388
"yes",5141,"cash",83,65,92,"no","good","no",100,13.238925730292,2018-06-28,2018-07-02,2018-07-05,0,"RFID",3.16908963277189,399
"yes",7122,"cash",92,38,93,"no","good","yes",168,10.6725951656485,2018-10-24,2018-10-25,2018-11-03,44,"RFID",3.36479856533205,390
"yes",2567,"cash",22,72,94,"yes","good","yes",107,11.4816764933136,2018-02-13,2018-02-14,2018-02-19,28,"GPRS",2.88046144341414,378
"yes",9992,"debit",91,5,95,"yes","good","yes",20,8.84252518104381,2018-10-29,2018-10-31,2018-11-08,89,"GPRS",4.35865475389651,380
